ID KODE NAMA JENIS_PETAK WARNA
1 GO Petak_Mulai SPESIAL DEFAULT
2 KSP Kesempatan KARTU DEFAULT
3 DNU Dana_Umum KARTU DEFAULT
6 FES Festival FESTIVAL DEFAULT
7 PPH Pajak_Penghasilan PAJAK DEFAULT
12 PBM Pajak_Barang_Mewah PAJAK DEFAULT
16 PEN Penjara SPESIAL DEFAULT
17 KSP Kesempatan KARTU DEFAULT
21 DNU Dana_Umum KARTU DEFAULT
26 FES Festival FESTIVAL DEFAULT
30 PPH Pajak_Penghasilan PAJAK DEFAULT
31 BBP Bebas_Parkir SPESIAL DEFAULT
35 PBM Pajak_Barang_Mewah PAJAK DEFAULT
39 KSP Kesempatan KARTU DEFAULT
43 DNU Dana_Umum KARTU DEFAULT
46 PPJ Petak_Pergi_ke_Penjara SPESIAL DEFAULT
48 FES Festival FESTIVAL DEFAULT
