ID KODE NAMA JENIS_PETAK WARNA
1 GO Petak_Mulai SPESIAL DEFAULT
2 KSP Kesempatan KARTU DEFAULT
3 DNU Dana_Umum KARTU DEFAULT
6 FES Festival FESTIVAL DEFAULT
7 PPH Pajak_Penghasilan PAJAK DEFAULT
12 PBM Pajak_Barang_Mewah PAJAK DEFAULT
13 KSP Kesempatan KARTU DEFAULT
15 PEN Penjara SPESIAL DEFAULT
18 DNU Dana_Umum KARTU DEFAULT
23 FES Festival FESTIVAL DEFAULT
27 PPH Pajak_Penghasilan PAJAK DEFAULT
29 BBP Bebas_Parkir SPESIAL DEFAULT
32 PBM Pajak_Barang_Mewah PAJAK DEFAULT
37 KSP Kesempatan KARTU DEFAULT
40 DNU Dana_Umum KARTU DEFAULT
43 PPJ Petak_Pergi_ke_Penjara SPESIAL DEFAULT
44 FES Festival FESTIVAL DEFAULT
