ID KODE NAMA JENIS_PETAK WARNA
1 GO Petak_Mulai SPESIAL DEFAULT
2 KSP Kesempatan KARTU DEFAULT
3 DNU Dana_Umum KARTU DEFAULT
6 FES Festival FESTIVAL DEFAULT
8 PPH Pajak_Penghasilan PAJAK DEFAULT
12 PBM Pajak_Barang_Mewah PAJAK DEFAULT
13 KSP Kesempatan KARTU DEFAULT
14 PEN Penjara SPESIAL DEFAULT
18 DNU Dana_Umum KARTU DEFAULT
19 FES Festival FESTIVAL DEFAULT
24 PPH Pajak_Penghasilan PAJAK DEFAULT
27 BBP Bebas_Parkir SPESIAL DEFAULT
29 PBM Pajak_Barang_Mewah PAJAK DEFAULT
34 KSP Kesempatan KARTU DEFAULT
38 DNU Dana_Umum KARTU DEFAULT
40 PPJ Petak_Pergi_ke_Penjara SPESIAL DEFAULT
42 FES Festival FESTIVAL DEFAULT
