ID KODE NAMA JENIS_PETAK WARNA
1 GO Petak_Mulai SPESIAL DEFAULT
2 FES Festival FESTIVAL DEFAULT
3 PPH Pajak_Penghasilan PAJAK DEFAULT
6 PBM Pajak_Barang_Mewah PAJAK DEFAULT
8 KSP Kesempatan KARTU DEFAULT
11 DNU Dana_Umum KARTU DEFAULT
12 FES Festival FESTIVAL DEFAULT
13 PEN Penjara SPESIAL DEFAULT
17 PPH Pajak_Penghasilan PAJAK DEFAULT
22 PBM Pajak_Barang_Mewah PAJAK DEFAULT
25 BBP Bebas_Parkir SPESIAL DEFAULT
27 KSP Kesempatan KARTU DEFAULT
32 DNU Dana_Umum KARTU DEFAULT
36 FES Festival FESTIVAL DEFAULT
37 PPJ Petak_Pergi_ke_Penjara SPESIAL DEFAULT
